material,density,min_thickness,max_thickness,conductivity,embodied_carbon_coefficient,material type,cost,recyclability,bio_based,colour,responsible
Solid burnt clay brick,1920.0,0.012,0.012,0.98,0.012,structure,22.31,3,False,#b4b2b3,True
Solid concrete block 25/50,2427.0,0.15,0.15,1.396,0.073,structure,16.49,2,False,#c0a6ab,True
AAC block,642.0,0.75,0.15,0.184,0.3,structure,12.42,4,False,#f77549,True
Reinforced concrete cement (RCC),2288.0,0.2,0.3,1.58,0.159,structure,49.36,2,False,#9b866f,True
Profiled Clay Tile Panel,1892.0,0.03,0.11,0.789,1.05,facade,54.65,3,False,#7a7975,True
Cement plaster,1762.0,0.01,0.015,0.721,0.63,finishing,10.73,2,False,#6d6d6c,True
Gypsum plaster,1120.0,0.01,0.015,0.512,0.279,finishing,6.97,3,False,#6b6b6a,True
Timber,480.0,0.018,0.035,0.072,0.72,finishing,21.71,5,True,#6f706e,True
Plywood,640.0,0.003,0.025,0.174,1.0,finishing,19.49,4,True,#717171,True
Glass,2350.0,0.004,0.033,0.814,0.85,glass,17.53,5,False,#717171,True
Double Glazed Unit,2500.0,0.026,0.026,0.9,40.0,glass,26.08,3,False,#6f7372,True
Triple Glazed Unit,2500.0,0.038,0.038,0.7,58.0,glass,91.48,3,False,#6e7373,True
Expanded polystyrene,24.0,0.02,0.1,0.335,2.55,insulation,13.23,1,False,#787b7b,True
Foam glass,127.0,0.025,0.15,0.056,1.26,insulation,72.27,4,False,#848788,True
Cork slab,164.0,0.02,0.1,0.043,0.3,insulation,21.86,5,True,#a2a3a5,True
Cork slab,192.0,0.02,0.1,0.044,0.2,insulation,21.86,5,True,#a2a3a5,True
Rock wool (unbonded),92.0,0.02,0.1,0.047,1.05,insulation,16.25,3,False,#c1c1c3,True
Rock wool (unbonded),150.0,0.02,0.1,0.043,1.05,insulation,16.25,3,False,#c1c1c3,True
Mineral wool (unbonded),73.5,0.02,0.1,0.03,0.5,insulation,16.25,3,False,#b9b7ba,True
Glass Wool (unbonded),69.0,0.02,0.1,0.043,1.35,insulation,5.78,4,False,#707372,True
Resin bonded mineral Wool,48.0,0.02,0.1,0.042,4.0,insulation,5.01,2,False,#aba8ab,True
Resin bonded mineral Wool,64.0,0.02,0.1,0.038,2.0,insulation,5.01,2,False,#aba8ab,True
Resin bonded mineral Wool,24.0,0.02,0.1,0.036,1.0,insulation,5.01,2,False,#aba8ab,True
Straw board,310.0,0.02,0.1,0.057,0.1,insulation,10.5,5,True,#aeabad,True
Soft board,320.0,0.02,0.1,0.066,0.12,insulation,24.57,4,True,#b2afb0,True
Soft board,249.0,0.02,0.1,0.047,0.5,insulation,20.50,4,True,#b2afb0,True
